Date:Language-specific:Polyglot:Mean runtimes per profile:Median runtimes per profile:Most runtimes per profile:Second most runtimes per profile:Third most runtimes per profile
2013-09-04:29:38:3,164179104477612:2,0:10:9:8
2013-09-04:29:38:3,164179104477612:2,0:10:9:8
2013-09-04:29:38:3,164179104477612:2,0:10:9:8
2013-09-06:29:38:3,164179104477612:2,0:10:9:8
2013-09-09:29:38:3,164179104477612:2,0:10:9:8
2013-09-09:28:36:3,15625:2,0:10:9:8
2013-09-09:27:36:3,1904761904761907:2,0:10:9:8
2013-09-09:29:38:3,164179104477612:2,0:10:9:8
2013-09-09:29:38:3,164179104477612:2,0:10:9:8
2013-09-09:29:38:3,164179104477612:2,0:10:9:8
2013-09-09:29:37:3,1515151515151514:2,0:10:9:8
2013-09-09:28:37:3,184615384615385:2,0:10:9:8
2013-09-09:29:38:3,164179104477612:2,0:10:9:8
2013-09-11:29:38:3,164179104477612:2,0:10:9:8
2013-09-27:29:38:3,164179104477612:2,0:10:9:8
2013-10-01:29:38:3,164179104477612:2,0:10:9:8
2013-10-07:29:38:3,1791044776119404:2,0:10:9:8
2013-10-10:29:38:3,1791044776119404:2,0:10:9:8
2013-10-10:29:38:3,1791044776119404:2,0:10:9:8
2013-10-15:28:39:3,2238805970149254:2,0:10:9:8
2013-10-16:28:39:3,2388059701492535:2,0:10:9:8
2013-10-16:28:39:3,2388059701492535:2,0:10:9:8
2013-10-17:28:39:3,2388059701492535:2,0:10:9:8
2013-10-30:28:39:3,2388059701492535:2,0:10:9:8
2013-10-30:28:39:3,2388059701492535:2,0:10:9:8
2013-10-30:28:39:3,2388059701492535:2,0:10:9:8
2013-10-31:28:39:3,2388059701492535:2,0:10:9:8
2013-11-01:28:39:3,2388059701492535:2,0:10:9:8
2013-11-04:28:39:3,2388059701492535:2,0:10:9:8
2013-11-07:28:39:3,2388059701492535:2,0:10:9:8
2013-11-08:28:39:3,2388059701492535:2,0:10:9:8
2013-11-18:28:39:3,2388059701492535:2,0:10:9:8
2013-11-18:28:39:3,2388059701492535:2,0:10:9:8
2013-11-18:28:39:3,2388059701492535:2,0:10:9:8
2013-11-19:28:39:3,2388059701492535:2,0:10:9:8
