Date:Mean infrastructure per profile:Median infrastructure per profile:Top infrastructure per profile:Second infrastructure per profile:Third infrastructure per profile:Forth infrastructure per profile:Fifth infrastructure per profile
2013-09-09:2,408163265306123:1,0:12:8:8:7:5
2013-09-09:2,408163265306123:1,0:12:8:8:7:5
2013-09-09:2,4375:1,0:12:8:8:7:5
2013-09-09:2,4680851063829787:1,0:12:8:8:7:5
2013-09-09:2,408163265306123:1,0:12:8:8:7:5
2013-09-11:2,408163265306123:1,0:12:8:8:7:5
2013-09-27:2,408163265306123:1,0:12:8:8:7:5
2013-10-01:2,408163265306123:1,0:12:8:8:7:5
2013-10-07:2,408163265306123:1,0:12:8:8:7:5
2013-10-10:2,408163265306123:1,0:12:8:8:7:5
2013-10-10:2,408163265306123:1,0:12:8:8:7:5
2013-10-15:2,408163265306123:1,0:12:8:8:7:5
2013-10-16:2,408163265306123:1,0:12:8:8:7:5
2013-10-16:2,408163265306123:1,0:12:8:8:7:5
2013-10-17:2,387755102040816:1,0:12:8:8:7:5
2013-10-30:2,4489795918367343:1,0:15:8:8:7:5
2013-10-30:2,4489795918367343:1,0:15:8:8:7:5
2013-10-30:2,387755102040816:1,0:12:8:8:7:5
2013-10-31:2,387755102040816:1,0:12:8:8:7:5
2013-11-01:2,4489795918367343:1,0:15:8:8:7:5
2013-11-04:2,387755102040816:1,0:12:8:8:7:5
2013-11-07:2,4489795918367343:1,0:15:8:8:7:5
2013-11-08:2,4489795918367343:1,0:15:8:8:7:5
2013-11-18:2,4489795918367343:1,0:15:8:8:7:5
2013-11-18:2,4489795918367343:1,0:15:8:8:7:5
2013-11-18:2,4489795918367343:1,0:15:8:8:7:5
2013-11-19:2,387755102040816:1,0:12:8:8:7:5
2013-11-19:2,4489795918367343:1,0:15:8:8:7:5
2013-11-19:2,4489795918367343:1,0:15:8:8:7:5
2013-11-20:2,4489795918367343:1,0:15:8:8:7:5
2013-11-26:2,387755102040816:1,0:12:8:8:7:5
2013-11-26:2,4489795918367343:1,0:15:8:8:7:5
2013-11-28:2,387755102040816:1,0:12:8:8:7:5
2013-11-29:2,4489795918367343:1,0:15:8:8:7:5
2013-12-02:2,4489795918367343:1,0:15:8:8:7:5
2013-12-03:2,4489795918367343:1,0:15:8:8:7:5
2013-12-03:2,387755102040816:1,0:12:8:8:7:5
2013-12-04:2,387755102040816:1,0:12:8:8:7:5
2013-12-04:2,4489795918367343:1,0:15:8:8:7:5
2013-12-04:2,387755102040816:1,0:12:8:8:7:5
2013-12-05:2,4489795918367343:1,0:15:8:8:7:5
2013-12-05:2,4489795918367343:1,0:15:8:8:7:5
2013-12-10:2,4489795918367343:1,0:15:8:8:7:5
2013-12-10:2,387755102040816:1,0:12:8:8:7:5
2013-12-10:2,4489795918367343:1,0:15:8:8:7:5
2013-12-11:2,42:1,0:15:8:8:7:5
2013-12-11:2,4489795918367343:1,0:15:8:8:7:5
2013-12-12:2,4489795918367343:1,0:15:8:8:7:5
2013-12-16:2,4489795918367343:1,0:15:8:8:7:5
2013-12-19:2,4693877551020407:1,0:15:8:8:7:5
2013-12-19:2,4489795918367343:1,0:15:8:8:7:5
2013-12-19:2,4489795918367343:1,0:15:8:8:7:5
2013-12-19:2,4693877551020407:1,0:15:8:8:7:5
2014-01-07:2,4693877551020407:1,0:15:8:8:7:5
2014-01-11:2,4693877551020407:1,0:15:8:8:7:5
2014-01-11:2,4693877551020407:1,0:15:8:8:7:5
2014-01-11:2,4693877551020407:1,0:15:8:8:7:5
2014-01-17:2,4693877551020407:1,0:15:8:8:7:5
2014-01-17:2,4693877551020407:1,0:15:8:8:7:5
2014-01-21:2,4693877551020407:1,0:15:8:8:7:5
2014-01-21:2,4693877551020407:1,0:15:8:8:7:5
2014-01-29:2,4693877551020407:1,0:15:8:8:7:5
2014-02-05:2,4693877551020407:1,0:15:8:8:7:5
2014-02-05:2,4693877551020407:1,0:15:8:8:7:5
2014-02-07:2,4693877551020407:1,0:15:8:8:7:5
2014-02-07:2,4693877551020407:1,0:15:8:8:7:5
2014-02-07:2,4693877551020407:1,0:15:8:8:7:5
2014-02-07:2,4693877551020407:1,0:15:8:8:7:5
2014-02-07:2,4400000000000004:1,0:15:8:8:7:5
2014-02-10:2,411764705882353:1,0:15:8:8:7:5
2014-02-10:2,4400000000000004:1,0:15:8:8:7:5
2014-02-10:2,411764705882353:1,0:15:8:8:7:5
2014-02-13:2,4509803921568625:1,0:17:8:8:7:5
2014-02-13:2,423076923076923:1,0:17:8:8:7:5
2014-02-14:2,4509803921568625:1,0:17:8:8:7:5
2014-02-17:2,4509803921568625:1,0:17:8:8:7:5
2014-02-17:2,4509803921568625:1,0:17:8:8:7:5
2014-02-17:2,4509803921568625:1,0:17:8:8:7:5
2014-02-17:2,4509803921568625:1,0:17:8:8:7:5
2014-02-17:2,4509803921568625:1,0:17:8:8:7:5
2014-02-17:2,4509803921568625:1,0:17:8:8:7:5
2014-02-18:2,423076923076923:1,0:17:8:8:7:5
2014-02-18:2,423076923076923:1,0:17:8:8:7:5
2014-02-18:2,423076923076923:1,0:17:8:8:7:5
2014-02-18:2,423076923076923:1,0:17:8:8:7:5
2014-02-19:2,423076923076923:1,0:17:8:8:7:5
2014-02-19:2,423076923076923:1,0:17:8:8:7:5
2014-02-25:2,423076923076923:1,0:17:8:8:7:5
2014-02-25:2,423076923076923:1,0:17:8:8:7:5
2014-02-26:2,423076923076923:1,0:17:8:8:7:5
2014-03-04:2,423076923076923:1,0:17:8:8:7:5
2014-03-04:2,423076923076923:1,0:17:8:8:7:5
2014-03-04:2,423076923076923:1,0:17:8:8:7:5
2014-03-05:2,423076923076923:1,0:17:8:8:7:5
2014-03-06:2,423076923076923:1,0:17:8:8:7:5
2014-03-10:2,3962264150943398:1,0:17:8:8:7:5
2014-03-11:2,3703703703703702:1,0:17:8:8:7:5
2014-03-11:2,3962264150943398:1,0:17:8:8:7:5
2014-03-11:2,3962264150943398:1,0:17:8:8:7:5
