Date:Active:EOL
2013-06-28:66:0
2013-07-01:66:0
2013-07-02:65:0
2013-07-02:65:0
2013-07-02:65:17
2013-07-02:65:17
2013-07-03:64:18
2013-07-03:64:18
2013-07-03:64:18
2013-07-03:65:17
2013-07-03:64:18
2013-07-03:65:17
2013-07-04:64:18
2013-07-04:64:18
2013-07-04:64:18
2013-07-04:64:18
2013-07-04:64:18
2013-07-04:64:18
2013-07-04:64:18
2013-07-05:64:18
2013-07-05:64:18
2013-07-05:64:18
2013-07-05:64:18
2013-07-05:64:18
2013-07-07:64:18
2013-07-08:64:18
2013-07-08:64:18
2013-07-08:64:18
2013-07-08:64:18
2013-07-08:64:18
2013-07-08:64:18
2013-07-08:64:18
2013-07-08:64:18
2013-07-08:64:18
2013-07-09:64:18
2013-07-09:64:18
2013-07-09:64:18
2013-07-09:64:18
2013-07-10:64:18
2013-07-10:64:18
2013-07-10:64:18
2013-07-10:64:18
2013-07-10:64:18
2013-07-10:64:18
2013-07-10:64:18
2013-07-10:64:18
2013-07-11:64:18
2013-07-11:64:18
2013-07-11:64:18
2013-07-11:64:18
2013-07-11:64:18
2013-07-11:64:18
2013-07-12:64:18
2013-07-12:64:18
2013-07-12:64:18
2013-07-12:64:18
2013-07-12:64:18
2013-07-12:64:18
2013-07-15:64:18
2013-07-15:64:18
2013-07-15:64:18
2013-07-15:64:18
2013-07-17:64:18
2013-07-17:64:18
2013-07-17:64:18
2013-07-17:64:18
2013-07-17:64:18
2013-07-19:64:18
2013-07-19:64:18
2013-07-19:64:18
2013-07-19:64:18
2013-07-22:64:18
2013-07-22:64:18
2013-07-22:64:18
2013-07-24:65:18
2013-07-24:65:18
2013-07-24:65:19
2013-07-25:65:19
2013-07-25:65:19
2013-07-26:65:19
2013-07-26:65:19
2013-07-26:65:19
2013-07-29:65:19
2013-07-29:65:19
2013-07-29:65:19
2013-07-30:65:19
2013-08-06:65:19
2013-08-06:65:19
2013-08-06:65:19
2013-08-07:66:19
2013-08-08:66:19
2013-08-08:66:19
2013-08-13:66:19
2013-08-14:66:19
2013-08-14:66:19
2013-08-14:66:19
2013-08-21:67:19
2013-09-03:67:19
2013-09-03:67:19
2013-09-04:67:19
2013-09-04:67:19
2013-09-04:67:19
2013-09-04:67:19
2013-09-06:67:19
2013-09-09:67:19
2013-09-09:64:19
2013-09-09:63:19
2013-09-09:67:19
2013-09-09:67:19
2013-09-09:67:19
2013-09-09:66:19
2013-09-09:65:19
2013-09-09:67:19
2013-09-11:67:19
2013-09-27:67:19
2013-10-01:67:19
2013-10-07:67:19
2013-10-10:67:19
2013-10-10:67:19
2013-10-15:67:19
2013-10-16:67:19
2013-10-16:67:19
2013-10-17:67:19
2013-10-30:67:19
2013-10-30:67:19
2013-10-30:67:19
2013-10-31:67:19
2013-11-01:67:19
2013-11-04:67:19
2013-11-07:67:19
2013-11-08:67:19
2013-11-18:67:19
2013-11-18:67:19
2013-11-18:67:19
2013-11-19:67:19
2013-11-19:67:19
2013-11-19:67:19
2013-11-20:67:19
2013-11-26:67:19
2013-11-26:67:19
2013-11-28:67:19
