Date:Scalable:Vertical:Horizontal:Auto
2013-09-09:85,07462686567165:56,71641791044776:70,1492537313433:40,298507462686565
2013-09-09:84,375:54,6875:68,75:42,1875
2013-09-09:84,12698412698413:53,96825396825397:68,25396825396825:42,857142857142854
2013-09-09:85,07462686567165:56,71641791044776:70,1492537313433:40,298507462686565
2013-09-09:85,07462686567165:56,71641791044776:70,1492537313433:40,298507462686565
2013-09-09:85,07462686567165:56,71641791044776:70,1492537313433:40,298507462686565
2013-09-09:84,84848484848484:56,060606060606055:69,6969696969697:40,909090909090914
2013-09-09:84,61538461538461:55,38461538461539:69,23076923076923:41,53846153846154
2013-09-09:85,07462686567165:56,71641791044776:70,1492537313433:40,298507462686565
2013-09-11:85,07462686567165:56,71641791044776:70,1492537313433:40,298507462686565
2013-09-27:85,07462686567165:56,71641791044776:70,1492537313433:40,298507462686565
2013-10-01:85,07462686567165:56,71641791044776:70,1492537313433:40,298507462686565
2013-10-07:85,07462686567165:56,71641791044776:70,1492537313433:40,298507462686565
2013-10-10:85,07462686567165:56,71641791044776:70,1492537313433:40,298507462686565
2013-10-10:85,07462686567165:56,71641791044776:70,1492537313433:40,298507462686565
2013-10-15:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-10-16:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-10-16:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-10-17:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-10-30:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-10-30:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-10-30:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-10-31:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-01:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-04:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-07:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-08:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-18:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-18:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-18:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-19:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-19:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-19:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-20:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-26:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-26:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-28:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-11-29:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-12-02:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-12-03:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-12-03:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-12-04:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
