Date:Mean:Median:Youngest:Oldest
2013-11-18:122,64179104477611:136,0:19:136
2013-11-18:122,64179104477611:136,0:19:136
2013-11-18:122,64179104477611:136,0:19:136
2013-11-19:124,7910447761194:137,0:33:137
2013-11-19:123,64179104477611:137,0:20:137
2013-11-19:123,64179104477611:137,0:20:137
2013-11-20:124,64179104477611:138,0:21:138
2013-11-26:131,7910447761194:144,0:40:144
2013-11-26:130,6417910447761:144,0:27:144
2013-11-28:133,7910447761194:146,0:42:146
2013-11-29:133,6417910447761:147,0:30:147
2013-12-02:136,6417910447761:150,0:33:150
2013-12-03:137,6417910447761:151,0:34:151
2013-12-03:138,7910447761194:151,0:47:151
2013-12-04:139,7910447761194:152,0:48:152
2013-12-04:138,6417910447761:152,0:35:152
2013-12-04:139,7910447761194:152,0:48:152
2013-12-05:139,6417910447761:153,0:36:153
2013-12-05:139,6417910447761:153,0:36:153
2013-12-10:143,80597014925374:158,0:5:158
2013-12-10:145,7910447761194:158,0:54:158
2013-12-10:143,80597014925374:158,0:5:158
2013-12-11:142,58823529411765:159,0:0:159
2013-12-11:144,71641791044777:159,0:0:159
2013-12-12:143,34328358208955:160,0:1:160
2013-12-16:147,34328358208955:164,0:5:164
2013-12-19:143,2089552238806:167,0:0:167
2013-12-19:147,97014925373134:167,0:3:167
2013-12-19:147,97014925373134:167,0:3:167
2013-12-19:143,2089552238806:167,0:0:167
2014-01-07:162,2089552238806:186,0:19:186
2014-01-11:163,6417910447761:190,0:4:190
2014-01-11:163,6417910447761:190,0:4:190
2014-01-11:163,6417910447761:190,0:4:190
2014-01-17:167,14705882352942:196,0:0:196
2014-01-17:167,14705882352942:196,0:0:196
2014-01-21:171,14705882352942:200,0:4:200
2014-01-21:171,14705882352942:200,0:4:200
2014-01-29:179,14705882352942:208,0:12:208
2014-02-05:186,14705882352942:215,0:19:215
2014-02-05:184,0441176470588:215,0:6:215
2014-02-07:186,0441176470588:217,0:8:217
2014-02-07:186,0441176470588:217,0:8:217
2014-02-07:183,91176470588235:217,0:0:217
2014-02-07:186,0441176470588:217,0:8:217
2014-02-07:181,2463768115942:217,0:0:217
2014-02-10:181,6142857142857:220,0:0:220
2014-02-10:184,2463768115942:220,0:3:220
2014-02-10:181,6142857142857:220,0:0:220
2014-02-13:183,12857142857143:223,0:2:223
2014-02-13:180,6338028169014:223,0:2:223
2014-02-14:184,12857142857143:224,0:3:224
2014-02-17:177,6142857142857:225,0:0:227
2014-02-17:184,02857142857144:227,0:0:227
2014-02-17:184,02857142857144:227,0:0:227
2014-02-17:187,12857142857143:227,0:6:227
2014-02-17:184,02857142857144:227,0:0:227
2014-02-17:180,85714285714286:227,0:0:227
2014-02-18:178,6142857142857:226,0:1:228
2014-02-18:178,6142857142857:226,0:1:228
2014-02-18:178,6142857142857:226,0:1:228
2014-02-18:178,6142857142857:226,0:1:228
2014-02-19:173,52857142857144:224,5:0:229
2014-02-19:176,34285714285716:224,5:0:229
2014-02-25:179,52857142857144:230,5:6:235
2014-02-25:179,52857142857144:230,5:6:235
2014-02-26:180,52857142857144:231,5:7:236
2014-03-04:186,52857142857144:237,5:13:242
2014-03-04:186,52857142857144:237,5:13:242
2014-03-04:186,52857142857144:237,5:13:242
2014-03-05:187,52857142857144:238,5:14:243
2014-03-06:188,52857142857144:239,5:15:244
2014-03-10:189,8732394366197:243,0:4:248
2014-03-11:179,87671232876713:244,0:0:249
2014-03-11:181,93055555555554:244,0:0:249
2014-03-11:181,93055555555554:244,0:0:249
2014-03-11:179,87671232876713:244,0:0:249
2014-03-11:190,8732394366197:244,0:5:249
2014-03-11:179,87671232876713:244,0:0:249
2014-03-12:182,93055555555554:245,0:1:250
2014-03-12:182,93055555555554:245,0:1:250
2014-03-12:182,93055555555554:245,0:1:250
2014-03-12:182,93055555555554:245,0:1:250
2014-03-13:183,93055555555554:246,0:2:251
2014-03-13:178,5:246,0:0:251
2014-03-13:183,93055555555554:246,0:2:251
2014-03-13:183,93055555555554:246,0:2:251
2014-03-14:179,5:247,0:1:252
2014-03-21:186,5:254,0:8:259
2014-03-26:187,95945945945945:258,5:2:264
2014-03-27:182,97333333333333:258,0:0:265
2014-03-27:188,95945945945945:259,5:3:265
2014-03-27:188,95945945945945:259,5:3:265
2014-03-27:188,95945945945945:259,5:3:265
2014-03-27:185,44594594594594:258,5:0:265
2014-03-27:188,95945945945945:259,5:3:265
2014-03-27:188,95945945945945:259,5:3:265
2014-03-28:183,97333333333333:259,0:1:266
2014-03-31:186,97333333333333:262,0:4:269
2014-04-02:188,97333333333333:264,0:6:271
2014-04-03:186,34666666666666:263,0:0:272
2014-04-03:186,34666666666666:263,0:0:272
2014-04-18:197,52:277,0:0:287
2014-04-21:200,52:280,0:3:290
2014-04-24:192,25:277,5:1:293
2014-04-25:193,25:278,5:2:294
2014-05-08:206,25:291,5:15:307
2014-05-08:206,25:291,5:15:307
2014-05-08:206,25:291,5:15:307
2014-05-09:206,27777777777777:292,5:9:308
2014-05-09:206,27777777777777:292,5:9:308
2014-05-09:207,25:292,5:16:308
2014-05-09:207,25:292,5:16:308
