Date:Profiles with Native Services in percent:Profiles w/o Native Services in percent
2013-12-03:41,7910447761194:58,2089552238806
2013-12-04:41,7910447761194:58,2089552238806
2013-12-04:41,7910447761194:58,2089552238806
2013-12-04:41,7910447761194:58,2089552238806
2013-12-05:41,7910447761194:58,2089552238806
2013-12-05:41,7910447761194:58,2089552238806
2013-12-10:41,7910447761194:58,2089552238806
2013-12-10:41,7910447761194:58,2089552238806
2013-12-10:41,7910447761194:58,2089552238806
2013-12-11:42,64705882352941:57,35294117647059
2013-12-11:41,7910447761194:58,2089552238806
2013-12-12:43,28358208955223:56,71641791044777
2013-12-16:43,28358208955223:56,71641791044777
2013-12-19:43,28358208955223:56,71641791044777
2013-12-19:43,28358208955223:56,71641791044777
2013-12-19:43,28358208955223:56,71641791044777
2013-12-19:43,28358208955223:56,71641791044777
2014-01-07:43,28358208955223:56,71641791044777
2014-01-11:43,28358208955223:56,71641791044777
2014-01-11:43,28358208955223:56,71641791044777
2014-01-11:43,28358208955223:56,71641791044777
2014-01-17:44,11764705882353:55,88235294117647
2014-01-17:44,11764705882353:55,88235294117647
2014-01-21:44,11764705882353:55,88235294117647
2014-01-21:44,11764705882353:55,88235294117647
2014-01-29:44,11764705882353:55,88235294117647
2014-02-05:44,11764705882353:55,88235294117647
2014-02-05:44,11764705882353:55,88235294117647
2014-02-07:44,11764705882353:55,88235294117647
2014-02-07:44,11764705882353:55,88235294117647
2014-02-07:44,11764705882353:55,88235294117647
2014-02-07:44,11764705882353:55,88235294117647
2014-02-07:44,927536231884055:55,072463768115945
2014-02-10:45,714285714285715:54,285714285714285
2014-02-10:44,927536231884055:55,072463768115945
2014-02-10:45,714285714285715:54,285714285714285
2014-02-13:45,714285714285715:54,285714285714285
2014-02-13:46,478873239436616:53,521126760563384
2014-02-14:45,714285714285715:54,285714285714285
2014-02-17:47,14285714285714:52,85714285714286
2014-02-17:45,714285714285715:54,285714285714285
2014-02-17:45,714285714285715:54,285714285714285
2014-02-17:45,714285714285715:54,285714285714285
2014-02-17:45,714285714285715:54,285714285714285
2014-02-17:45,714285714285715:54,285714285714285
2014-02-18:47,14285714285714:52,85714285714286
2014-02-18:47,14285714285714:52,85714285714286
2014-02-18:47,14285714285714:52,85714285714286
2014-02-18:47,14285714285714:52,85714285714286
2014-02-19:47,14285714285714:52,85714285714286
2014-02-19:47,14285714285714:52,85714285714286
2014-02-25:47,14285714285714:52,85714285714286
2014-02-25:47,14285714285714:52,85714285714286
2014-02-26:47,14285714285714:52,85714285714286
2014-03-04:47,14285714285714:52,85714285714286
2014-03-04:47,14285714285714:52,85714285714286
2014-03-04:47,14285714285714:52,85714285714286
2014-03-05:47,14285714285714:52,85714285714286
2014-03-06:47,14285714285714:52,85714285714286
2014-03-10:47,88732394366197:52,11267605633803
2014-03-11:49,31506849315068:50,68493150684932
2014-03-11:48,61111111111111:51,38888888888889
2014-03-11:48,61111111111111:51,38888888888889
2014-03-11:49,31506849315068:50,68493150684932
2014-03-11:47,88732394366197:52,11267605633803
2014-03-11:49,31506849315068:50,68493150684932
2014-03-12:48,61111111111111:51,38888888888889
2014-03-12:48,61111111111111:51,38888888888889
2014-03-12:48,61111111111111:51,38888888888889
2014-03-12:48,61111111111111:51,38888888888889
2014-03-13:48,61111111111111:51,38888888888889
2014-03-13:50,0:50,0
2014-03-13:48,61111111111111:51,38888888888889
2014-03-13:48,61111111111111:51,38888888888889
2014-03-14:50,0:50,0
2014-03-21:50,0:50,0
2014-03-26:51,35135135135135:48,64864864864865
2014-03-27:52,0:48,0
2014-03-27:51,35135135135135:48,64864864864865
2014-03-27:51,35135135135135:48,64864864864865
2014-03-27:51,35135135135135:48,64864864864865
2014-03-27:51,35135135135135:48,64864864864865
2014-03-27:51,35135135135135:48,64864864864865
2014-03-27:51,35135135135135:48,64864864864865
2014-03-28:52,0:48,0
2014-03-31:52,0:48,0
2014-04-02:52,0:48,0
2014-04-03:53,333333333333336:46,666666666666664
2014-04-03:53,333333333333336:46,666666666666664
2014-04-18:53,333333333333336:46,666666666666664
2014-04-21:53,333333333333336:46,666666666666664
2014-04-24:55,55555555555556:44,44444444444444
2014-04-25:55,55555555555556:44,44444444444444
2014-05-08:55,55555555555556:44,44444444444444
2014-05-08:55,55555555555556:44,44444444444444
2014-05-08:55,55555555555556:44,44444444444444
2014-05-09:55,55555555555556:44,44444444444444
2014-05-09:55,55555555555556:44,44444444444444
2014-05-09:55,55555555555556:44,44444444444444
2014-05-09:55,55555555555556:44,44444444444444
2014-05-13:55,55555555555556:44,44444444444444
2014-05-14:55,55555555555556:44,44444444444444
2014-05-14:55,55555555555556:44,44444444444444
2014-05-16:55,55555555555556:44,44444444444444
2014-05-16:55,55555555555556:44,44444444444444
2014-05-20:54,929577464788736:45,070422535211264
2014-05-20:56,33802816901409:43,66197183098591
2014-05-21:56,33802816901409:43,66197183098591
2014-05-22:56,16438356164384:43,83561643835616
2014-05-22:56,16438356164384:43,83561643835616
2014-05-23:56,16438356164384:43,83561643835616
2014-05-23:56,75675675675676:43,24324324324324
2014-05-28:56,75675675675676:43,24324324324324
2014-05-28:59,45945945945946:40,54054054054054
2014-05-28:59,45945945945946:40,54054054054054
2014-05-29:59,45945945945946:40,54054054054054
2014-06-03:59,45945945945946:40,54054054054054
2014-06-03:60,0:40,0
2014-06-05:60,0:40,0
2014-06-06:60,0:40,0
2014-06-06:60,526315789473685:39,473684210526315
2014-06-06:61,038961038961034:38,961038961038966
2014-06-06:61,038961038961034:38,961038961038966
2014-06-11:61,038961038961034:38,961038961038966
2014-06-11:61,038961038961034:38,961038961038966
2014-06-20:61,038961038961034:38,961038961038966
2014-06-20:61,038961038961034:38,961038961038966
2014-06-24:61,038961038961034:38,961038961038966
2014-06-24:61,038961038961034:38,961038961038966
2014-06-25:61,038961038961034:38,961038961038966
2014-06-26:61,038961038961034:38,961038961038966
2014-06-29:61,038961038961034:38,961038961038966
2014-06-30:61,038961038961034:38,961038961038966
2014-06-30:61,038961038961034:38,961038961038966
2014-07-01:61,038961038961034:38,961038961038966
2014-07-02:61,038961038961034:38,961038961038966
2014-07-04:61,038961038961034:38,961038961038966
2014-07-04:61,038961038961034:38,961038961038966
2014-07-07:61,038961038961034:38,961038961038966
2014-07-07:61,038961038961034:38,961038961038966
