Date:Mean infrastructure per profile:Median infrastructure per profile:Top infrastructure per profile:Second infrastructure per profile:Third infrastructure per profile:North America:Europe:Asia:Oceania:South America:Africa
2013-07-15:2,4375:1,0:12:8:8:56,25:43,75:20,3125:14,0625:12,5:0,0
2013-07-15:2,4375:1,0:12:8:8:56,25:43,75:20,3125:14,0625:12,5:0,0
2013-07-15:2,4375:1,0:12:8:8:56,25:43,75:20,3125:14,0625:12,5:0,0
2013-07-17:2,4468085106382977:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-17:2,4375:1,0:12:8:8:56,25:43,75:20,3125:14,0625:12,5:0,0
2013-07-17:2,4375:1,0:12:8:8:56,25:43,75:20,3125:14,0625:12,5:0,0
2013-07-17:2,4375:1,0:12:8:8:56,25:43,75:20,3125:14,0625:12,5:0,0
2013-07-17:2,4468085106382977:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-19:2,4375:1,0:12:8:8:56,25:43,75:20,3125:14,0625:12,5:0,0
2013-07-19:2,4375:1,0:12:8:8:56,25:43,75:20,3125:14,0625:12,5:0,0
2013-07-19:2,4468085106382977:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-19:2,4375:1,0:12:8:8:56,25:43,75:20,3125:14,0625:12,5:0,0
2013-07-22:2,4375:1,0:12:8:8:56,25:43,75:20,3125:14,0625:12,5:0,0
2013-07-22:2,4375:1,0:12:8:8:56,25:43,75:20,3125:14,0625:12,5:0,0
2013-07-22:2,4375:1,0:12:8:8:56,25:43,75:20,3125:14,0625:12,5:0,0
2013-07-24:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-07-24:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-07-24:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-07-25:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-07-25:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-07-26:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-07-26:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-07-26:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-07-29:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
